TAGID,wave,session_date,age
TAG224,C2,11/24/20,13.31666667
TAG225,C2,11/25/20,13.44166667
TAG238,C2,11/24/20,14.11388889
TAG243,C2,12/5/20,13.68888889
TAG247,C2,12/21/20,13.68055556
TAG250,C2,11/24/20,13.84722222
TAG252,C2,11/29/20,13.69722222
TAG253,C2,11/27/20,13.26111111
TAG261,C2,12/14/20,13.44722222
TAG002,C3,5/20/21,17.17777778
TAG005,C3,6/2/21,15.40555556
TAG007,C3,7/15/21,17.65
TAG008,C3,6/30/21,17.38333333
TAG009,C3,6/11/21,17.25
TAG010,C3,5/10/21,16.68888889
TAG016,C3,5/19/21,17.67222222
TAG017,C3,6/2/21,16.03611111
TAG020,C3,6/6/21,17.03055556
TAG022,C3,6/21/21,17.38055556
TAG030,C3,5/12/21,15.96111111
TAG032,C3,5/14/21,17.39444444
TAG033,C3,5/15/21,17.375
TAG037,C3,5/22/21,16.95833333
TAG041,C3,5/17/21,17.16944444
TAG044,C3,7/19/21,16.55
TAG049,C3,5/20/21,16.21944444
TAG050,C3,5/22/21,17.86388889
TAG052,C3,5/14/21,16.11388889
TAG060,C3,5/27/21,15.86666667
TAG062,C3,5/22/21,14.90833333
TAG065,C3,5/23/21,15.41666667
TAG071,C3,5/16/21,16.05
TAG074,C3,5/26/21,13.85
TAG076,C3,6/7/21,17.31111111
TAG078,C3,5/12/21,15.65555556
TAG084,C3,5/11/21,16.46666667
TAG085,C3,5/15/21,17.00833333
TAG086,C3,5/22/21,16.39444444
TAG089,C3,5/19/21,16.54444444
TAG090,C3,6/6/21,16.51388889
TAG093,C3,6/6/21,16.88611111
TAG094,C3,5/16/21,16.25555556
TAG103,C3,5/10/21,16.29722222
TAG104,C3,5/14/21,16.03611111
TAG106,C3,7/5/21,14.09444444
TAG110,C3,5/12/21,13.90833333
TAG113,C3,5/15/21,16.10277778
TAG116,C3,5/12/21,14.49722222
TAG122,C3,5/19/21,14.74166667
TAG130,C3,6/17/21,16.9
TAG131,C3,5/12/21,16.12777778
TAG143,C3,6/23/21,16.98888889
TAG149,C3,5/25/21,17.22222222
TAG152,C3,6/5/21,14.91666667
TAG159,C3,6/8/21,17.24722222
TAG160,C3,5/19/21,17.11111111
TAG173,C3,5/10/21,16.04166667
TAG179,C3,5/9/21,14.49166667
TAG180,C3,5/14/21,16.87777778
TAG190,C3,6/28/21,15.60277778
TAG202,C3,5/22/21,15.81944444
TAG203,C3,5/21/21,15.99722222
TAG208,C3,5/28/21,16.06388889
TAG210,C3,6/2/21,16.19166667
TAG218,C3,5/26/21,14.32222222
TAG220,C3,5/10/21,14.33055556
TAG221,C3,5/26/21,14.57222222
TAG223,C3,5/12/21,13.675
TAG224,C3,6/18/21,13.88333333
TAG225,C3,5/14/21,13.91111111
TAG238,C3,5/30/21,14.63055556
TAG243,C3,5/27/21,14.16666667
TAG247,C3,5/19/21,14.09166667
TAG250,C3,5/9/21,14.30555556
TAG252,C3,6/16/21,14.24444444
TAG253,C3,6/2/21,13.775
