tagid,wave,session_date
TAG050,wave_1_scheduling_arm_1,3/18/16
TAG050,wave_2_scheduling_arm_1,10/27/17
TAG050,sos_arm_1,11/11/18
TAG050,wave_3_scheduling_arm_1,4/15/19
TAG050,wave_4_scheduling_arm_1,3/4/21
TAG051,wave_1_scheduling_arm_1,2/24/16
TAG051,wave_2_scheduling_arm_1,9/22/17
TAG051,wave_3_scheduling_arm_1,3/29/19
TAG052,wave_1_scheduling_arm_1,2/27/16
TAG052,wave_2_scheduling_arm_1,10/13/17
TAG052,sos_arm_1,3/29/20
TAG052,wave_3_scheduling_arm_1,7/19/19
TAG052,wave_4_scheduling_arm_1,9/9/21
TAG053,wave_1_scheduling_arm_1,5/10/16
TAG053,wave_2_scheduling_arm_1,11/17/17
TAG053,sos_arm_1,12/19/18
TAG053,wave_3_scheduling_arm_1,5/31/19
TAG054,wave_1_scheduling_arm_1,3/23/16
TAG054,wave_2_scheduling_arm_1,10/20/17
TAG054,wave_3_scheduling_arm_1,6/7/19
TAG055,wave_1_scheduling_arm_1,3/2/16
TAG055,wave_2_scheduling_arm_1,9/27/17
TAG055,sos_arm_1,3/1/20
TAG055,wave_3_scheduling_arm_1,4/29/19
TAG056,wave_1_scheduling_arm_1,7/27/16
TAG056,wave_2_scheduling_arm_1,2/23/18
TAG056,wave_3_scheduling_arm_1,8/21/19
TAG057,wave_1_scheduling_arm_1,3/7/16
TAG057,wave_2_scheduling_arm_1,9/21/17
TAG057,sos_arm_1,10/27/18
TAG057,wave_3_scheduling_arm_1,3/26/19
TAG057,wave_4_scheduling_arm_1,1/19/21
TAG058,wave_1_scheduling_arm_1,3/4/16
TAG058,wave_2_scheduling_arm_1,11/2/17
TAG058,wave_3_scheduling_arm_1,5/9/19
TAG058,wave_4_scheduling_arm_1,6/8/21
TAG059,wave_1_scheduling_arm_1,4/29/16
TAG059,wave_2_scheduling_arm_1,11/22/17
TAG059,sos_arm_1,12/23/18
TAG059,wave_3_scheduling_arm_1,6/20/19
