"","tagid","CAMM_W2","Grades_W2","SC_W2","wave","age","transition"
"168","TAG012",NA,NA,NA,"W2",NA,NA
"169","TAG013",NA,NA,NA,"W2",NA,NA
"170","TAG083",NA,NA,NA,"W2",NA,NA
"171","TAG109",NA,NA,NA,"W2",NA,NA
"172","TAG137",NA,NA,NA,"W2",NA,NA
"173","TAG145",NA,NA,NA,"W2",NA,NA
"174","TAG165",NA,NA,NA,"W2",NA,NA
"175","TAG170",NA,NA,NA,"W2",NA,NA
"176","TAG233",NA,NA,NA,"W2",NA,NA
"177","TAG240",NA,NA,NA,"W2",NA,NA
"178","TAG258",NA,NA,NA,"W2",NA,NA
