tagid,wave,transition
TAG_130,W3,2
TAG_131,W3,1
TAG_132,W3,1
TAG_138,W3,1
TAG_140,W3,2
TAG_141,W3,1
TAG_143,W3,
TAG_144,W3,1
TAG_147,W3,
TAG_149,W3,
TAG_152,W3,
TAG_155,W3,
TAG_159,W3,1
TAG_160,W3,1
TAG_164,W3,
TAG_166,W3,
TAG_167,W3,1
TAG_169,W3,2
TAG_173,W3,
TAG_174,W3,
TAG_175,W3,
TAG_176,W3,
TAG_177,W3,2
TAG_179,W3,2
TAG_180,W3,
TAG_181,W3,2
TAG_186,W3,
TAG_188,W3,
TAG_190,W3,
TAG_192,W3,1
TAG_194,W3,1
TAG_200,W3,
TAG_202,W3,
TAG_203,W3,
TAG_205,W3,
TAG_206,W3,
TAG_207,W3,
TAG_208,W3,
TAG_209,W3,
TAG_210,W3,1
TAG_211,W3,1
TAG_215,W3,
TAG_218,W3,
TAG_220,W3,
TAG_221,W3,
TAG_223,W3,
TAG_224,W3,
TAG_225,W3,
TAG_232,W3,
TAG_238,W3,
TAG_243,W3,
TAG_244,W3,
TAG_247,W3,
TAG_250,W3,
TAG_252,W3,
TAG_253,W3,
TAG_257,W3,
TAG_261,W3,
TAG_266,W3,
