TAGID,wave,session_date
TAG_057,wave_3_scheduling_arm_1,2019-03-26
TAG_057,wave_4_scheduling_arm_1,2021-01-19
TAG_058,wave_1_scheduling_arm_1,2016-03-04
TAG_058,wave_2_scheduling_arm_1,2017-11-02
TAG_058,wave_3_scheduling_arm_1,2019-05-09
TAG_059,wave_1_scheduling_arm_1,2016-04-29
TAG_059,wave_2_scheduling_arm_1,2017-11-22
TAG_059,sos_arm_1,2018-12-23
TAG_059,wave_3_scheduling_arm_1,2019-06-20
TAG_062,wave_1_scheduling_arm_1,2016-07-18
TAG_062,wave_2_scheduling_arm_1,2018-02-19
TAG_062,sos_arm_1,2019-01-04
TAG_062,wave_3_scheduling_arm_1,2019-08-26
TAG_063,wave_1_scheduling_arm_1,2016-07-02
TAG_064,wave_1_scheduling_arm_1,2016-04-05
TAG_064,wave_2_scheduling_arm_1,2017-11-08
TAG_064,wave_3_scheduling_arm_1,2019-05-22
TAG_065,wave_1_scheduling_arm_1,2016-04-05
TAG_065,wave_2_scheduling_arm_1,2017-11-13
TAG_065,wave_3_scheduling_arm_1,2019-06-04
TAG_066,wave_1_scheduling_arm_1,2016-04-23
TAG_066,wave_2_scheduling_arm_1,2017-11-19
TAG_066,wave_3_scheduling_arm_1,2019-06-22
TAG_067,wave_1_scheduling_arm_1,2016-04-23
TAG_067,wave_2_scheduling_arm_1,2017-08-23
TAG_067,wave_3_scheduling_arm_1,2019-03-26
TAG_068,wave_1_scheduling_arm_1,2016-11-23
TAG_068,wave_2_scheduling_arm_1,2018-07-09
TAG_068,sos_arm_1,2019-03-03
TAG_068,wave_3_scheduling_arm_1,2019-12-02
TAG_069,wave_1_scheduling_arm_1,2016-04-30
TAG_069,wave_2_scheduling_arm_1,2017-10-21
TAG_069,sos_arm_1,2020-02-29
TAG_069,wave_3_scheduling_arm_1,2019-04-13
TAG_069,wave_4_scheduling_arm_1,2021-02-23
TAG_070,wave_1_scheduling_arm_1,2016-05-06
TAG_070,wave_2_scheduling_arm_1,2018-02-02
TAG_070,wave_3_scheduling_arm_1,2019-10-28
TAG_072,wave_1_scheduling_arm_1,2017-05-12
TAG_072,wave_2_scheduling_arm_1,2018-11-09
TAG_073,wave_1_scheduling_arm_1,2016-06-21
TAG_073,wave_2_scheduling_arm_1,2017-11-27
TAG_073,wave_3_scheduling_arm_1,2019-12-30
TAG_074,wave_1_scheduling_arm_1,2017-09-15
TAG_074,wave_2_scheduling_arm_1,2019-03-18
TAG_074,sos_arm_1,2019-10-19
TAG_075,wave_1_scheduling_arm_1,2016-08-08
